MUNICIPALIDAD,DEPARTAMENTO,ZONA GEOGRAFICA,POBLACION,PIA,PIM,AVANCE %,DEVENGADO
021501-300199: MUNICIPALIDAD PROVINCIAL DE PALLASCA - CABANA,ANCASH,PROVINCIA,"24,371",0,"15,450",100.00,"15,450"
040126-300356: MUNICIPALIDAD DISTRITAL DE YANAHUARA,AREQUIPA,DISTRITO,"26,354","36,000","15,200",100.00,"15,200"
050609-300487: MUNICIPALIDAD DISTRITAL DE LEONCIO PRADO,AYACUCHO,DISTRITO,"1,095",0,"175,206",100.00,"175,206"
061007-300648: MUNICIPALIDAD DISTRITAL DE JOSE SABOGAL,CAJAMARCA,DISTRITO,"13,137",0,"63,507",100.00,"63,506"
090114-300805: MUNICIPALIDAD DISTRITAL DE PALCA,HUANCAVELICA,DISTRITO,"1,906",0,"315,182",100.00,"315,182"
090711-300878: MUNICIPALIDAD DISTRITAL DE PAZOS,HUANCAVELICA,DISTRITO,"5,198","500,000","498,230",100.00,"498,029"
100103-300887: MUNICIPALIDAD DISTRITAL DE CHINCHAO,HUANUCO,DISTRITO,"13,159",0,"34,500",100.00,"34,500"
100301-300903: MUNICIPALIDAD PROVINCIAL DE DOS DE MAYO - LA UNION,HUANUCO,PROVINCIA,"7,093",0,"119,834",100.00,"119,833"
100804-300940: MUNICIPALIDAD DISTRITAL DE UMARI,HUANUCO,DISTRITO,"10,770",0,"57,149",100.00,"57,149"
110103-300962: MUNICIPALIDAD DISTRITAL DE LOS AQUIJES,ICA,DISTRITO,"25,686","17,900","2,000",100.00,"2,000"
110205-300978: MUNICIPALIDAD DISTRITAL DE EL CARMEN,ICA,DISTRITO,"13,940",0,"10,000",100.00,"10,000"
110507-301001: MUNICIPALIDAD DISTRITAL DE SAN CLEMENTE,ICA,DISTRITO,"28,904","20,000","2,880",100.00,"2,880"
120604-301093: MUNICIPALIDAD DISTRITAL DE MAZAMARI,JUNIN,DISTRITO,"43,191","18,000","34,000",100.00,"34,000"
130501-301157: MUNICIPALIDAD PROVINCIAL DE JULCAN,LA LIBERTAD,PROVINCIA,"12,762","606,991","65,500",100.00,"65,500"
130801-301176: MUNICIPALIDAD PROVINCIAL DE PATAZ - TAYABAMBA,LA LIBERTAD,PROVINCIA,"13,862","35,800","31,261",100.00,"31,261"
140108-301219: MUNICIPALIDAD DISTRITAL DE MONSEFU,LAMBAYEQUE,DISTRITO,"36,323","20,500","2,800",100.00,"2,800"
150511-301321: MUNICIPALIDAD DISTRITAL DE PACARAN,LIMA,DISTRITO,"1,684",0,"112,677",100.00,"112,676"
160206-301439: MUNICIPALIDAD DISTRITAL DE LAGUNAS,LORETO,DISTRITO,"14,459",0,"17,600",100.00,"17,600"
160803-301855: MUNICIPALIDAD DISTRITAL DE TENIENTE MANUEL CLAVERO,LORETO,DISTRITO,"5,875","291,477","189,000",100.00,"189,000"
190113-301513: MUNICIPALIDAD DISTRITAL DE YANACANCHA,PASCO,DISTRITO,"21,286",0,"18,692",100.00,"18,691"
200302-301549: MUNICIPALIDAD DISTRITAL DE CANCHAQUE,PIURA,DISTRITO,"7,317",0,"126,925",100.00,"126,922"
200410-301565: MUNICIPALIDAD DISTRITAL DE YAMANGO,PIURA,DISTRITO,"8,501","32,500","108,500",100.00,"108,500"
200602-301574: MUNICIPALIDAD DISTRITAL DE BELLAVISTA,PIURA,DISTRITO,"37,236",0,"49,989",100.00,"49,989"
200706-301586: MUNICIPALIDAD DISTRITAL DE MANCORA,PIURA,DISTRITO,"14,116",0,"25,098",100.00,"25,098"
210107-301599: MUNICIPALIDAD DISTRITAL DE COATA,PUNO,DISTRITO,"6,898","30,000","208,600",100.00,"208,600"
210306-301628: MUNICIPALIDAD DISTRITAL DE CRUCERO,PUNO,DISTRITO,"10,095","34,121","24,911",100.00,"24,910"
211205-301689: MUNICIPALIDAD DISTRITAL DE PHARA,PUNO,DISTRITO,"6,145","170,000","152,143",100.00,"152,084"
220105-301705: MUNICIPALIDAD DISTRITAL DE SORITOR,SAN MARTIN,DISTRITO,"22,909",0,"29,500",100.00,"29,500"
220602-301736: MUNICIPALIDAD DISTRITAL DE CAMPANILLA,SAN MARTIN,DISTRITO,"17,190",0,"20,000",100.00,"20,000"
220709-301748: MUNICIPALIDAD DISTRITAL DE TINGO DE PONASA,SAN MARTIN,DISTRITO,"3,888",0,"384,014",100.00,"384,014"
220910-301768: MUNICIPALIDAD DISTRITAL DE MORALES,SAN MARTIN,DISTRITO,"43,287",0,"20,000",100.00,"20,000"
050113-300452: MUNICIPALIDAD DISTRITAL DE TAMBILLO,AYACUCHO,DISTRITO,"6,001",0,"296,660",99.90,"296,215"
050114-300453: MUNICIPALIDAD DISTRITAL DE VINCHOS,AYACUCHO,DISTRITO,"16,233",0,"70,000",99.90,"69,904"
101103-300955: MUNICIPALIDAD DISTRITAL DE CHACABAMBA,HUANUCO,DISTRITO,898,"82,005","621,030",99.90,"620,179"
